"","ID","Reference","Data.source","Longitude","Latitude","Elevation","MAT","MAP","PET","Climate","Ecosystem.type","Methods","Site","MurA","GlcN","SOC","TN","TP","C.N","MBC","MBN","MBC.N","pH","Sand","Silt","Clay"
"174",174,30,"A1",160.55,6.08,44,23.7,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",12.5,192,13.3,0.94,0.6,14.12,838.69,32.48,25.83,5.37,33,33,32
"175",175,30,"A1",160.55,6.08,44,23.7,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",38.3,251,8.2,0.69,0.6,11.97,838.69,32.48,25.83,5.89,33,33,32
"176",176,30,"A1",160.55,6.08,44,23.7,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",5,46.5,4.54,0.46,0.6,9.85,838.69,32.48,25.83,6.06,33,33,32
"177",177,30,"A1",160.55,6.08,44,23.7,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",15.3,48.6,3.28,0.38,0.6,8.7,838.69,32.48,25.83,5.96,33,33,32
"178",178,30,"A1",160.55,6.08,44,23.7,2509,1423,"A","Forest","GC","Mt. Kibalu, Sabah, Malaysia",18.2,55.7,7.61,0.65,0.6,11.8,838.69,32.48,25.83,5.92,33,33,32
"179",179,31,"A1",123.4,41.52,42,7.5,700,1190,"D","Cropland","GC","Shenyang suburb of Northeast Chi",31.8,586,10.01,1.21,0.9,8.27,285,52.32,5.45,7,48,34,19
"180",180,32,"A1",124.8,43.5,207,5.47,605,1169,"D","Cropland","GC","Gongzhuling, Jilin Province of Chi",79.89,879.6,15.6,1.5,1.2,10.4,299.33,72.27,4.14,6.1,48,34,18
"181",181,33,"A1",125.05,42.2,440,4.4,550,1103,"D","Cropland","GC","Dehui County, Jilin Province, Chi",78.88,415.75,15.01,1.38,0.6,10.89,224.46,79.95,2.81,6.49,43,42,35.78
"182",182,33,"A1",125.55,42.2,560,4.4,550,1069,"D","Cropland","GC","Dehui County, Jilin Province, Chi",113.8,725.33,17.61,1.55,1.1,11.35,252.82,89.23,2.83,6.49,45,39,35.78
"183",183,33,"A1",125.55,42.2,560,4.4,550,1069,"D","Cropland","GC","Dehui County, Jilin Province, Chi",111.83,618.85,17.02,1.51,1.1,11.25,252.82,89.23,2.83,6.49,45,39,35.78
"184",184,34,"A1",26.95,-28.12,1575,13.9,656,2086,"B","Cropland","GC","Free State Province of South Africa",NA,NA,9.1,0.7,0.4,13,201.04,67.97,2.96,4.9,25,43,31
"185",185,34,"A1",26.95,-28.12,1575,13.9,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,9.9,0.9,0.4,11,201.04,67.97,2.96,5.2,25,43,31
"186",186,34,"A1",26.95,-28.12,1575,13.9,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,13.6,1.1,0.4,12.36,201.04,67.97,2.96,5.2,25,43,31
"187",187,34,"A1",26.95,-28.12,1575,13.9,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,15.6,1.1,0.4,14.18,201.04,67.97,2.96,6.4,25,43,31
"188",188,34,"A1",26.95,-28.12,1575,13.9,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,14.6,1.1,0.4,13.27,201.04,67.97,2.96,4.8,25,43,31
"189",189,34,"A1",26.95,-28.12,1575,13.9,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,18.3,1.4,0.4,13.07,201.04,67.97,2.96,5.2,25,43,31
"190",190,34,"A1",26.95,-28.12,1575,13.9,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,14.7,1.1,0.4,13.36,201.04,67.97,2.96,4.8,25,43,31
"191",191,34,"A1",26.95,-28.12,1575,13.9,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,15.7,1.2,0.4,13.08,201.04,67.97,2.96,5.1,25,43,31
"192",192,34,"A1",26.95,-28.12,1575,13.9,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,22.1,1.5,0.4,14.73,201.04,67.97,2.96,5.3,25,43,31
"193",193,34,"A1",26.95,-28.12,1575,14.8,656,2086,"B","Cropland","GC","Free State Province of South Africa",NA,NA,2.8,0.3,0.4,9.33,201.04,67.97,2.96,4.9,25,43,31
"194",194,34,"A1",26.95,-28.12,1575,14.8,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,6.3,0.6,0.4,10.5,201.04,67.97,2.96,5.5,25,43,31
"195",195,34,"A1",26.95,-28.12,1575,14.8,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,8.1,0.7,0.4,11.57,201.04,67.97,2.96,6.1,25,43,31
"196",196,34,"A1",26.95,-28.12,1575,14.8,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,7.9,0.7,0.4,11.29,201.04,67.97,2.96,6.1,25,43,31
"197",197,34,"A1",26.95,-28.12,1575,14.8,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,7.3,0.6,0.4,12.17,201.04,67.97,2.96,6,25,43,31
"198",198,34,"A1",26.95,-28.12,1575,14.8,656,2086,"B","Grassland","GC","Free State Province of South Africa",NA,NA,8.4,0.8,0.4,10.5,201.04,67.97,2.96,5.9,25,43,31
